SNR_dB,OAMP_BER,OAMPNet_BER
0,0.2596028645833333,0.23714192708333334
2,0.208984375,0.17529296875
4,0.15380859375,0.134521484375
6,0.12158203125,0.1021484375
8,0.0716552734375,0.06231689453125
10,0.0498857421875,0.04195068359375
12,0.0295986328125,0.02392578125
14,0.01871337890625,0.0144189453125
16,0.012138671875,0.00896484375
18,0.0073828125,0.005107421875
20,0.00482421875,0.003046875
22,0.003232421875,0.0018359375
24,0.00189453125,0.001259765625
26,0.001494140625,0.001025390625
28,0.00109375,0.000673828125
30,0.00052734375,0.000322265625
